#     til       Mil       Ril       Lil       Til      Sion       Slyw
#
6.767e+03 2.030e+00 1.371e+00 2.480e+00 3.696e+00 3.680e+01 3.899e+01
1.127e+04 3.382e+00 1.211e+00 2.259e+00 3.721e+00 3.727e+01 3.939e+01
1.892e+04 5.676e+00 1.213e+00 2.360e+00 3.745e+00 3.799e+01 3.997e+01
1.933e+04 5.798e+00 1.258e+00 2.460e+00 3.748e+00 3.809e+01 4.013e+01
1.948e+04 5.843e+00 1.303e+00 2.565e+00 3.752e+00 3.829e+01 4.030e+01
1.952e+04 5.857e+00 1.346e+00 2.670e+00 3.756e+00 3.858e+01 4.046e+01
1.954e+04 5.863e+00 1.378e+00 2.773e+00 3.766e+00 3.886e+01 4.081e+01
1.958e+04 5.874e+00 1.401e+00 2.879e+00 3.781e+00 3.931e+01 4.113e+01
1.965e+04 5.895e+00 1.418e+00 2.984e+00 3.799e+00 3.981e+01 4.160e+01
1.978e+04 5.934e+00 1.434e+00 3.085e+00 3.816e+00 4.027e+01 4.199e+01
2.005e+04 6.014e+00 1.452e+00 3.190e+00 3.834e+00 4.078e+01 4.235e+01
2.051e+04 6.154e+00 1.466e+00 3.292e+00 3.852e+00 4.124e+01 4.277e+01
2.128e+04 6.384e+00 1.470e+00 3.393e+00 3.875e+00 4.178e+01 4.319e+01
2.218e+04 6.653e+00 1.462e+00 3.477e+00 3.900e+00 4.225e+01 4.362e+01
2.311e+04 6.933e+00 1.446e+00 3.547e+00 3.926e+00 4.275e+01 4.402e+01
2.404e+04 7.213e+00 1.426e+00 3.608e+00 3.951e+00 4.319e+01 4.437e+01
2.498e+04 7.493e+00 1.403e+00 3.663e+00 3.976e+00 4.362e+01 4.470e+01
2.592e+04 7.777e+00 1.378e+00 3.715e+00 4.002e+00 4.399e+01 4.501e+01
2.687e+04 8.061e+00 1.353e+00 3.766e+00 4.027e+00 4.435e+01 4.528e+01
2.784e+04 8.352e+00 1.327e+00 3.814e+00 4.052e+00 4.469e+01 4.556e+01
2.882e+04 8.646e+00 1.300e+00 3.862e+00 4.077e+00 4.500e+01 4.580e+01
2.983e+04 8.948e+00 1.273e+00 3.910e+00 4.103e+00 4.531e+01 4.604e+01
3.085e+04 9.254e+00 1.246e+00 3.956e+00 4.128e+00 4.559e+01 4.625e+01
3.189e+04 9.566e+00 1.218e+00 4.001e+00 4.153e+00 4.585e+01 4.645e+01
3.297e+04 9.890e+00 1.190e+00 4.046e+00 4.179e+00 4.609e+01 4.663e+01
3.408e+04 1.022e+01 1.161e+00 4.089e+00 4.204e+00 4.632e+01 4.680e+01
3.523e+04 1.057e+01 1.132e+00 4.133e+00 4.229e+00 4.654e+01 4.696e+01
3.640e+04 1.092e+01 1.102e+00 4.175e+00 4.254e+00 4.673e+01 4.711e+01
3.761e+04 1.128e+01 1.073e+00 4.217e+00 4.280e+00 4.692e+01 4.724e+01
3.887e+04 1.166e+01 1.043e+00 4.258e+00 4.305e+00 4.709e+01 4.737e+01
4.016e+04 1.205e+01 1.013e+00 4.299e+00 4.330e+00 4.726e+01 4.748e+01
4.152e+04 1.245e+01 9.832e-01 4.340e+00 4.355e+00 4.741e+01 4.758e+01
4.293e+04 1.288e+01 9.530e-01 4.381e+00 4.381e+00 4.755e+01 4.767e+01
4.440e+04 1.332e+01 9.227e-01 4.422e+00 4.406e+00 4.769e+01 4.775e+01
4.593e+04 1.378e+01 8.921e-01 4.463e+00 4.432e+00 4.781e+01 4.783e+01
4.751e+04 1.425e+01 8.618e-01 4.503e+00 4.457e+00 4.793e+01 4.790e+01
4.914e+04 1.474e+01 8.310e-01 4.541e+00 4.482e+00 4.803e+01 4.796e+01
5.090e+04 1.527e+01 8.003e-01 4.580e+00 4.507e+00 4.813e+01 4.801e+01
5.276e+04 1.583e+01 7.696e-01 4.619e+00 4.532e+00 4.823e+01 4.806e+01
5.474e+04 1.642e+01 7.387e-01 4.658e+00 4.557e+00 4.831e+01 4.811e+01
5.679e+04 1.704e+01 7.087e-01 4.698e+00 4.582e+00 4.840e+01 4.814e+01
5.891e+04 1.767e+01 6.796e-01 4.740e+00 4.607e+00 4.848e+01 4.818e+01
6.113e+04 1.834e+01 6.514e-01 4.785e+00 4.633e+00 4.855e+01 4.821e+01
6.338e+04 1.901e+01 6.244e-01 4.832e+00 4.658e+00 4.863e+01 4.824e+01
6.569e+04 1.971e+01 5.973e-01 4.878e+00 4.683e+00 4.870e+01 4.827e+01
6.804e+04 2.041e+01 5.692e-01 4.922e+00 4.708e+00 4.876e+01 4.829e+01
7.049e+04 2.115e+01 5.399e-01 4.964e+00 4.733e+00 4.882e+01 4.831e+01
7.307e+04 2.192e+01 5.102e-01 5.005e+00 4.758e+00 4.887e+01 4.832e+01
7.581e+04 2.274e+01 4.800e-01 5.046e+00 4.783e+00 4.892e+01 4.832e+01
7.872e+04 2.362e+01 4.500e-01 5.086e+00 4.809e+00 4.897e+01 4.833e+01
8.184e+04 2.455e+01 4.200e-01 5.126e+00 4.834e+00 4.902e+01 4.833e+01
8.526e+04 2.558e+01 3.901e-01 5.167e+00 4.859e+00 4.906e+01 4.833e+01
9.005e+04 2.702e+01 3.600e-01 5.207e+00 4.884e+00 4.910e+01 4.832e+01
1.197e+05 3.592e+01 3.826e-01 5.307e+00 4.897e+00 4.920e+01 4.840e+01
1.346e+05 4.039e+01 4.079e-01 5.407e+00 4.910e+00 4.929e+01 4.848e+01
1.514e+05 4.542e+01 4.363e-01 5.507e+00 4.921e+00 4.939e+01 4.856e+01
1.706e+05 5.118e+01 4.675e-01 5.607e+00 4.930e+00 4.949e+01 4.864e+01
1.927e+05 5.780e+01 4.996e-01 5.707e+00 4.939e+00 4.959e+01 4.872e+01
2.184e+05 6.552e+01 5.333e-01 5.808e+00 4.947e+00 4.969e+01 4.880e+01
2.483e+05 7.450e+01 5.678e-01 5.908e+00 4.955e+00 4.978e+01 4.889e+01
